key,value
61512,Gestion et suivi de projets informatiques
61513,Gestion et suivi de projets informatiques (prat)
61514,Gestion de projets agiles
62511,Industrialisation du logiciel
62512,Outils de développement intégré
62513,Outils de développement intégré (prat)
62522,Entrepôt de données
62523,Entrepôt de données (prat)
62524,Analyses de données
63511,Technologies actuelles
63512,Recherche opérationnelle
63513,Concepts avancés de persistance
64511,Gestion des contenus de l'entreprise
64512,Gestion des données semi-structurées
64521,Projet RAD
